project_id,project_name,app_id,app_name,app_user_id,first_seen_at,last_seen_at,last_seen_app_version,last_seen_ip_country,last_seen_platform,last_seen_platform_version,last_seen_sdk_version,last_seen_locale,price_experiment_id,price_experiment_variant,has_made_sandbox_purchase,latest_entitlement,latest_product,is_rc_promo,first_purchase_at,most_recent_purchase_at,trial_start_at,trial_end_at,most_recent_renewal_at,latest_expiration_at,subscription_opt_out_at,trial_opt_out_at,total_renewals,total_spent,latest_store,latest_store_country,latest_auto_renew_intent,all_purchased_product_ids,most_recent_billing_issues_at,status,latest_offer,latest_offer_type,latest_purchased_offering,latest_ownership_type,email,phone_number,media_source,campaign,ad_group,ad,keyword,creative,idfa,idfv,gps_ad_id,custom_attributes
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_Stripe,user_0,1585188096298,1702908649538,Version 1.0,AU,Stripe,Version 12.0,3.2.0,en_CA,,,f,rc_promo_promotional_testing_lifetime,prod_3,t,1728511982820,1733181363917,1588493291430,1650859656122,1711205999895,1727175302911,,,4,499.07,App Store,US,t,"prod_3,prod_5",,Sandbox,,,,PURCHASED,user0@example.com,,google,campaign_0,ad_group_0,ad_0,keyword_0,creative_0,idfa_0,idfv_0,gps_ad_id_0,"{""attribute_key"": ""value_0""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_Android,user_1,1666734038741,1728773496255,Version 3.0,AU,Android,Version 15.0,3.2.0,en_CA,,,f,rc_promo_promotional_testing_lifetime,prod_5,t,1707555934261,1642731979149,1649969085617,1616362882961,1705908998314,1666190625132,1666670198288.0,,0,223.19,Google Play,AU,t,"prod_4,prod_2,prod_2",1635103964298.0,Non-subscription,,,,PURCHASED,user1@example.com,,organic,campaign_1,ad_group_1,ad_1,keyword_1,creative_1,idfa_1,idfv_1,gps_ad_id_1,"{""attribute_key"": ""value_1""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_Android,user_2,1618821133845,1725512289116,Version 1.0,,Android,Version 15.0,3.2.0,en_CA,,,f,rc_promo_promotional_testing_lifetime,prod_1,t,1583024727752,1595608589839,1625569743030,1641615773610,1662298271264,1626990049197,1691785280872.0,1710298987659.0,5,933.6,App Store,AU,t,prod_5,1579493022303.0,Sandbox,,,,PURCHASED,user2@example.com,,organic,campaign_2,ad_group_2,ad_2,keyword_2,creative_2,idfa_2,idfv_2,gps_ad_id_2,"{""attribute_key"": ""value_2""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_Android,user_3,1690316826434,1593814952711,Version 3.0,AU,Android,Version 15.0,3.0.0,en_GB,,,f,rc_promo_promotional_testing_lifetime,prod_3,f,1686843827096,1719766547213,1659804347193,1624333417986,1656170964296,1646546139211,1648995042249.0,1611703083259.0,5,236.87,Web,US,f,"prod_5,prod_4",1629786590331.0,Active,,,,PURCHASED,user3@example.com,,google,campaign_3,ad_group_3,ad_3,keyword_3,creative_3,idfa_3,idfv_3,gps_ad_id_3,"{""attribute_key"": ""value_3""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_iOS,user_4,1631517847842,1629669379057,Version 2.0,CA,iOS,Version 11.0,3.0.0,en_US,,,f,rc_promo_promotional_testing_lifetime,prod_5,t,1648838002051,1638075057111,1618095774551,1669247451099,1718800096633,1721213748247,1663403843615.0,,3,175.25,Google Play,AU,f,"prod_3,prod_2,prod_5",1705167773258.0,Non-subscription,,,,FAMILY_SHARED,user4@example.com,,organic,campaign_4,ad_group_4,ad_4,keyword_4,creative_4,idfa_4,idfv_4,gps_ad_id_4,"{""attribute_key"": ""value_4""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_iOS,user_5,1708650856425,1685518411000,Version 2.0,US,iOS,Version 12.0,3.0.0,en_US,,,f,rc_promo_promotional_testing_lifetime,prod_2,f,1670614688876,1648839136784,1706087138713,1654349854762,1713892860600,1660649254180,,,4,1.13,Web,GB,t,"prod_5,prod_4",,Sandbox,,,,PURCHASED,user5@example.com,,facebook,campaign_5,ad_group_5,ad_5,keyword_5,creative_5,idfa_5,idfv_5,gps_ad_id_5,"{""attribute_key"": ""value_5""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_iOS,user_6,1590353021585,1604113706557,Version 3.0,,iOS,Version 10.0,3.0.0,en_GB,,,f,rc_promo_promotional_testing_lifetime,prod_5,t,1585634794086,1628784951846,1686000353110,1705449252738,1610475724219,1715696710093,,1620051369462.0,5,249.18,Web,US,f,"prod_3,prod_2",,Active,,,,PURCHASED,user6@example.com,,organic,campaign_6,ad_group_6,ad_6,keyword_6,creative_6,idfa_6,idfv_6,gps_ad_id_6,"{""attribute_key"": ""value_6""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_Stripe,user_7,1721722739142,1671219549704,Version 1.0,US,Stripe,Version 11.0,3.0.0,en_GB,,,f,rc_promo_promotional_testing_lifetime,prod_2,t,1642598442100,1720951837845,1682109934063,1624975695591,1656600217690,1608987647252,1616361815238.0,,3,203.98,Google Play,AU,t,prod_2,,Sandbox,,,,PURCHASED,user7@example.com,,organic,campaign_7,ad_group_7,ad_7,keyword_7,creative_7,idfa_7,idfv_7,gps_ad_id_7,"{""attribute_key"": ""value_7""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_iOS,user_8,1726057853765,1732043664390,Version 2.0,US,iOS,Version 13.0,3.0.0,en_GB,,,f,rc_promo_promotional_testing_lifetime,prod_3,t,1672895032168,1705344878820,1716066774686,1706111000959,1682241365899,1658821964484,1680968915066.0,1625575379708.0,2,242.4,Web,AU,t,"prod_5,prod_4,prod_4",1588192806050.0,Expired,,,,PURCHASED,user8@example.com,,google,campaign_8,ad_group_8,ad_8,keyword_8,creative_8,idfa_8,idfv_8,gps_ad_id_8,"{""attribute_key"": ""value_8""}"
cca22fe3-0cd0-42a0-9fe0-b91b6bd6e555,Cattitude,1a075702-e62a-49ad-a87e-57d3c7e2f693,App_Cattitude_Android,user_9,1597797652784,1627629639283,Version 2.0,US,Android,Version 13.0,3.0.0,en_CA,,,f,rc_promo_promotional_testing_lifetime,prod_4,f,1645734752512,1665006666704,1604429482098,1646041982273,1619784186920,1730312883681,,1710849378371.0,0,33.52,App Store,GB,f,"prod_5,prod_1,prod_2",,Non-subscription,,,,PURCHASED,user9@example.com,,google,campaign_9,ad_group_9,ad_9,keyword_9,creative_9,idfa_9,idfv_9,gps_ad_id_9,"{""attribute_key"": ""value_9""}"
